downtime_type,downtime_type_name,is_fixed,is_fixed_name,was_started,was_started_name,was_cancelled,was_cancelled_name
1,Service downtime,0,Flexible (Not fixed),0,Was not started,0,Not cancelled
2,Host downtime,1,Fixed,1,Was started,1,Cancelled early
